"","Year","Month","Site","Length","LengthType","Sex","Special","MPA","FisheryDependent"
"323",2008,"September","PB",24,"cm","Unknown","Gear is HnL",1,1
"324",2008,"September","PB",32,"cm","Unknown","Gear is HnL",1,1
"325",2008,"September","PB",26,"cm","Unknown","Gear is HnL",1,1
"326",2008,"September","PB",26,"cm","Unknown","Gear is HnL",1,1
"327",2008,"September","PB",24,"cm","Unknown","Gear is HnL",1,1
"328",2007,"September","PB",34,"cm","Unknown","Gear is HnL",0,1
"329",2007,"September","PB",24,"cm","Unknown","Gear is HnL",0,1
"330",2007,"September","PB",32,"cm","Unknown","Gear is HnL",0,1
"331",2007,"September","PB",34,"cm","Unknown","Gear is HnL",0,1
"332",2007,"September","PB",20,"cm","Unknown","Gear is HnL",0,1
"333",2007,"September","PB",24,"cm","Unknown","Gear is HnL",0,1
"334",2008,"September","PB",33,"cm","Unknown","Gear is HnL",0,1
"335",2008,"September","PB",24,"cm","Unknown","Gear is HnL",0,1
"336",2008,"September","PB",31,"cm","Unknown","Gear is HnL",0,1
"337",2011,"July","PB",21,"cm","Unknown","Gear is HnL",1,1
"338",2011,"July","PB",25,"cm","Unknown","Gear is HnL",1,1
"339",2011,"July","PB",22,"cm","Unknown","Gear is HnL",1,1
"340",2011,"July","PB",30,"cm","Unknown","Gear is HnL",1,1
"341",2011,"July","PB",33,"cm","Unknown","Gear is HnL",1,1
"342",2011,"July","PB",32,"cm","Unknown","Gear is HnL",1,1
"343",2011,"July","PB",23,"cm","Unknown","Gear is HnL",1,1
"344",2011,"July","PB",21,"cm","Unknown","Gear is HnL",1,1
"345",2011,"July","PB",32,"cm","Unknown","Gear is HnL",1,1
"346",2011,"July","PB",31,"cm","Unknown","Gear is HnL",1,1
"347",2011,"July","PB",35,"cm","Unknown","Gear is HnL",1,1
"348",2013,"August","PB",29,"cm","Unknown","Gear is HnL",1,1
"349",2013,"August","PB",31,"cm","Unknown","Gear is HnL",1,1
"350",2013,"August","PB",24,"cm","Unknown","Gear is HnL",1,1
"351",2011,"July","PB",29,"cm","Unknown","Gear is HnL",0,1
"352",2011,"July","PB",31,"cm","Unknown","Gear is HnL",0,1
"353",2011,"July","PB",21,"cm","Unknown","Gear is HnL",0,1
"354",2011,"July","PB",21,"cm","Unknown","Gear is HnL",0,1
"355",2011,"July","PB",22,"cm","Unknown","Gear is HnL",0,1
"356",2011,"July","PB",23,"cm","Unknown","Gear is HnL",0,1
"357",2008,"September","PB",31,"cm","Unknown","Gear is HnL",1,1
"358",2008,"September","PB",21,"cm","Unknown","Gear is HnL",1,1
"359",2008,"September","PB",34,"cm","Unknown","Gear is HnL",1,1
"360",2008,"September","PB",22,"cm","Unknown","Gear is HnL",1,1
"361",2008,"September","PB",23,"cm","Unknown","Gear is HnL",1,1
"362",2008,"September","PB",21,"cm","Unknown","Gear is HnL",1,1
"363",2008,"September","PB",24,"cm","Unknown","Gear is HnL",1,1
"364",2008,"September","PB",25,"cm","Unknown","Gear is HnL",1,1
"365",2008,"September","PB",20,"cm","Unknown","Gear is HnL",1,1
"366",2008,"September","PB",21,"cm","Unknown","Gear is HnL",1,1
"367",2008,"September","PB",23,"cm","Unknown","Gear is HnL",1,1
"368",2008,"September","PB",31,"cm","Unknown","Gear is HnL",1,1
"369",2008,"September","PB",22,"cm","Unknown","Gear is HnL",1,1
"370",2008,"September","PB",22,"cm","Unknown","Gear is HnL",1,1
"371",2008,"September","PB",30,"cm","Unknown","Gear is HnL",1,1
"372",2008,"September","PB",24,"cm","Unknown","Gear is HnL",1,1
"373",2008,"September","PB",24,"cm","Unknown","Gear is HnL",1,1
"374",2008,"September","PB",26,"cm","Unknown","Gear is HnL",1,1
"375",2008,"September","PB",24,"cm","Unknown","Gear is HnL",1,1
"376",2008,"September","PB",24,"cm","Unknown","Gear is HnL",1,1
"377",2008,"September","PB",26,"cm","Unknown","Gear is HnL",1,1
"378",2008,"July","PB",25,"cm","Unknown","Gear is HnL",1,1
"379",2008,"July","PB",24,"cm","Unknown","Gear is HnL",1,1
"380",2008,"July","PB",24,"cm","Unknown","Gear is HnL",1,1
"381",2008,"July","PB",23,"cm","Unknown","Gear is HnL",1,1
"382",2008,"July","PB",22,"cm","Unknown","Gear is HnL",1,1
"383",2008,"July","PB",30,"cm","Unknown","Gear is HnL",1,1
"384",2008,"July","PB",30,"cm","Unknown","Gear is HnL",1,1
"385",2008,"July","PB",31,"cm","Unknown","Gear is HnL",1,1
"386",2008,"July","PB",21,"cm","Unknown","Gear is HnL",1,1
"387",2008,"July","PB",21,"cm","Unknown","Gear is HnL",1,1
"388",2008,"July","PB",23,"cm","Unknown","Gear is HnL",1,1
"389",2008,"July","PB",24,"cm","Unknown","Gear is HnL",1,1
"390",2008,"July","PB",24,"cm","Unknown","Gear is HnL",1,1
"391",2008,"July","PB",25,"cm","Unknown","Gear is HnL",1,1
"392",2008,"July","PB",22,"cm","Unknown","Gear is HnL",1,1
"393",2008,"July","PB",23,"cm","Unknown","Gear is HnL",1,1
"394",2008,"July","PB",29,"cm","Unknown","Gear is HnL",1,1
